len,uniqs
20,19
8,8
370,103
8,8
8,8
26,26
36,36
21,18
3,3
7,7
3,3
7,7
57,43
15,13
3,3
15,15
55,30
11,11
22,17
16,16
25,18
88,62
12,12
1,1
4,4
45,41
20,17
196,85
24,24
18,18
3,3
1,1
62,39
17,14
6,6
36,33
8,8
2,2
6,6
8,8
30,26
30,25
47,33
1,1
7,7
29,26
2,2
68,45
2,2
179,93
141,108
18,18
11,11
46,34
5,5
16,16
8,8
46,32
21,17
166,66
17,17
13,13
19,19
15,15
3,3
50,42
13,13
32,24
3,3
16,16
59,50
1,1
23,23
165,87
11,11
175,84
261,134
10,10
18,18
20,19
10,9
16,16
9,9
16,12
34,31
23,20
14,12
4,3
2,2
9,9
67,66
129,98
7,7
66,47
22,21
15,15
10,10
7,7
2,2
62,53
3,3
39,29
13,13
25,22
38,29
1,1
19,19
36,32
45,34
15,15
51,37
5,4
20,20
10,10
30,22
9,9
1,1
6,6
97,61
63,44
11,11
14,14
6,5
9,9
2,2
11,11
2,2
13,12
13,13
16,16
21,18
2,2
15,15
16,16
5,5
14,14
3,3
11,11
421,229
54,46
6,6
7,7
18,18
36,28
6,6
19,17
25,25
6,3
29,17
7,7
6,6
10,10
45,30
15,15
21,21
33,33
12,12
98,72
19,14
40,31
115,72
19,14
26,23
64,58
6,6
13,13
20,20
20,18
33,27
3,3
19,19
6,6
133,76
3,3
179,92
2,2
76,42
24,24
22,22
5,5
35,26
17,17
7,7
14,11
5,5
19,19
3,3
1,1
38,31
15,15
2,2
34,29
17,17
33,22
177,113
111,69
86,63
6,6
32,22
5,5
55,48
5,5
16,10
25,18
18,18
29,29
69,54
19,19
5,5
24,20
5,5
18,15
3,3
5,5
21,21
6,6
5,5
42,33
4,4
23,19
19,19
39,39
12,12
97,59
24,18
40,36
5,5
61,56
5,5
15,12
13,13
26,24
3,2
8,8
57,44
29,26
5,5
16,14
6,6
30,30
20,20
72,36
19,19
15,15
8,8
102,64
8,8
5,5
17,17
54,36
11,11
36,28
64,45
5,5
92,74
5,5
15,15
11,11
42,41
35,34
16,16
50,46
24,16
12,12
3,3
16,15
256,127
80,70
1,1
8,8
30,22
59,40
7,7
61,57
48,46
8,8
8,8
14,14
13,13
61,51
10,10
240,120
2,2
15,12
9,9
37,26
14,13
10,10
3,3
95,50
11,11
6,6
24,13
12,12
14,14
4,4
17,17
25,24
16,16
17,14
11,11
67,45
70,58
4,4
17,12
18,18
59,37
41,26
2,2
7,7
131,107
4,4
2,2
36,25
18,18
6,6
18,12
2,2
72,62
14,13
5,5
109,86
13,13
49,42
56,56
3,3
8,8
4,4
120,58
50,33
23,23
4,4
30,22
9,9
111,71
11,11
250,97
7,7
11,11
5,5
2,2
3,3
105,78
5,5
43,28
16,13
1,1
5,5
23,22
7,7
6,6
3,3
18,18
32,32
14,14
6,6
35,29
12,12
2,2
113,72
4,4
2,2
6,6
51,44
5,5
12,12
5,5
45,31
22,14
2,2
52,35
4,4
36,27
93,75
21,20
10,10
130,73
35,32
8,8
16,16
48,30
22,22
16,13
87,62
27,27
6,6
2,2
16,16
8,8
42,28
53,48
13,13
10,10
45,38
75,54
3,3
41,41
138,73
16,16
6,6
104,70
9,9
9,9
2,2
356,174
168,73
4,4
8,8
118,69
42,26
11,11
3,3
5,5
9,9
7,7
32,31
5,5
2,2
15,15
72,56
8,8
30,26
8,8
3,3
21,20
35,35
29,24
7,7
14,13
12,12
18,18
3,3
64,53
8,8
15,15
51,36
13,10
16,16
11,9
16,16
14,14
13,13
5,5
16,16
101,62
1,1
3,3
18,16
46,39
27,27
6,6
62,38
18,17
10,10
16,13
6,6
33,30
25,25
18,17
39,31
51,31
79,56
7,7
12,12
20,20
11,8
6,6
2,2
46,42
6,6
5,5
7,7
16,15
11,11
14,13
23,14
13,13
50,42
2,2
22,15
9,9
4,4
172,95
10,10
14,11
7,7
15,15
7,7
3,3
2,2
14,14
16,16
8,8
18,18
31,31
5,5
2,2
7,7
5,5
18,16
13,13
13,13
8,8
32,23
9,9
25,24
22,22
16,16
23,22
177,128
9,9
32,24
11,11
37,32
5,5
18,18
5,5
15,15
55,47
