len,uniqs
3090,376
830,186
1089,312
9115,473
375,137
18686,1221
796,189
2882,377
1663,343
406,107
351,129
87,61
1983,238
1303,256
7786,698
5596,415
481,203
3320,481
17199,570
7401,368
590,145
13433,534
935,182
4661,315
4841,460
7118,545
22053,973
38,37
760,146
362,172
835,168
8291,572
1654,276
9484,649
1772,370
14,10
803,232
3145,208
5235,554
4287,507
21233,1056
4917,350
7130,491
1163,177
1601,209
234,92
2686,206
16068,655
4977,623
2962,222
20629,1154
17271,1028
22,17
445,98
11878,748
7386,489
30,26
339,81
199913,1588
1597,360
20652,716
8082,812
6860,577
220,83
202,105
5808,544
530,196
6905,669
9449,882
1161,149
11793,752
2571,382
395,124
713,171
2304,449
940,216
1112,170
1265,282
3202,310
572,183
59,49
11213,657
45597,1208
1018,265
9073,305
20986,850
14997,537
5676,510
2751,325
6694,473
8092,648
669,149
628,172
2909,337
2600,368
1173,225
4898,645
977,246
5859,373
4114,356
2286,418
586,203
39539,1057
3535,209
6302,565
1057,234
6866,237
4813,275
772,118
12088,636
498,148
8474,526
794,109
1909,263
2927,443
3646,479
4350,364
1804,195
588,207
453,140
22,7
1089,247
352,95
369,109
136,55
506,107
5136,363
5155,501
3630,446
329,116
81671,1865
5146,571
1233,162
10171,454
1427,249
223,86
25422,1156
2748,334
180,103
12576,653
30731,1048
696,214
5491,334
17923,754
1412,182
128,99
1219,216
22711,1190
4720,227
48,39
3144,276
9954,915
3304,338
55,41
1036,285
33,25
31375,1199
492,160
214,101
1114,140
16858,1113
3030,379
2925,307
6018,668
328,145
111,84
1558,279
15150,754
901,118
295,98
7011,519
6167,618
2363,392
466,181
2315,283
222,97
20586,730
329,141
5543,366
2592,279
320,92
18560,791
1123,310
443,148
219,107
2628,270
3115,458
810,169
20631,795
2192,286
1216,160
868,150
147,106
156,121
6126,481
4182,321
584,203
1088,203
36,32
3910,282
28896,1151
3110,288
1489,276
21826,988
15010,658
3599,373
8508,522
3936,509
12930,659
2454,332
3398,426
4567,255
