len,uniqs
8,8
35,26
20,20
20,20
16,16
5,5
32,32
14,13
92,56
5,5
3,3
4,4
9,9
23,23
47,40
44,38
31,25
14,14
8,8
2,2
16,16
39,34
16,14
3,3
7,7
20,16
1,1
3,3
7,7
15,11
36,27
5,5
15,15
16,16
20,19
4,4
31,25
14,14
11,11
11,11
20,16
14,9
36,35
44,32
8,8
3,3
2,2
24,18
19,19
38,38
6,6
20,20
3,3
2,1
20,20
9,9
18,16
2,2
129,101
1,1
11,11
39,26
8,8
9,9
29,29
15,15
10,10
5,5
7,7
105,62
6,5
66,34
6,6
116,88
29,29
8,8
36,36
19,18
8,8
21,19
31,20
148,77
25,25
30,26
11,11
6,6
100,65
14,14
15,15
2,2
5,5
14,14
11,11
74,60
38,29
1,1
16,16
6,5
10,9
9,9
22,22
14,12
8,8
31,26
14,13
20,18
26,26
175,82
117,80
10,8
62,36
26,23
12,12
6,6
10,8
13,13
38,29
18,18
13,13
25,19
5,5
14,12
7,7
52,45
15,15
44,30
22,22
6,6
41,37
18,14
9,9
83,64
19,19
4,4
6,6
7,7
16,12
13,13
52,34
3,3
21,15
4,4
16,13
12,12
50,46
5,5
39,36
8,8
3,3
7,7
16,16
17,17
30,22
13,13
23,17
144,75
4,4
14,13
5,5
79,69
1,1
13,13
14,14
10,10
7,7
27,26
18,18
10,8
4,4
16,16
8,8
14,14
51,44
1,1
4,4
32,30
99,62
11,11
13,13
3,3
19,16
33,28
6,5
6,6
5,5
101,86
4,4
17,17
14,9
8,8
16,16
13,13
11,11
14,14
3,3
77,68
10,10
31,31
14,14
22,15
6,6
14,14
106,72
1,1
74,60
47,40
3,3
3,3
13,13
3,3
13,13
14,14
13,13
23,23
14,14
7,7
4,4
14,12
19,19
17,14
3,3
7,7
333,205
8,8
31,31
20,20
13,8
18,17
1,1
30,26
33,33
18,18
13,13
7,7
54,30
3,3
21,21
14,14
10,10
97,60
14,14
9,9
15,15
34,31
8,7
9,9
27,21
17,17
19,18
144,92
14,14
14,14
2,2
32,31
4,4
27,26
5,5
18,18
20,13
5,5
332,165
5,5
17,17
29,18
52,49
7,6
8,8
15,15
2,2
56,40
9,9
15,15
7,7
14,13
155,88
74,48
85,45
31,27
32,30
22,17
22,22
7,7
7,6
55,45
11,11
86,53
19,16
294,121
29,29
24,24
8,8
16,16
15,15
18,17
24,24
13,13
144,82
14,11
24,20
3,3
187,108
31,31
16,16
73,53
10,10
20,19
44,42
12,12
11,11
9,9
10,10
72,51
7,7
13,13
30,28
8,8
33,21
59,56
50,49
22,22
4,4
4,4
20,20
2,2
9,9
13,13
58,46
23,19
5,5
27,21
59,51
3,3
8,8
15,15
76,53
34,26
24,24
9,9
23,23
6,6
94,49
91,46
10,5
10,10
24,24
53,39
15,15
13,13
21,15
6,6
4,4
6,6
58,40
8,8
31,31
87,64
24,20
84,40
1,1
12,10
6,6
25,25
47,47
161,92
30,30
21,21
18,18
104,58
4,4
16,16
37,37
251,122
4,4
31,29
18,13
32,27
38,27
15,15
3,3
19,17
17,17
83,65
42,37
141,85
15,14
29,28
14,14
13,13
38,33
6,6
80,61
4,4
5,5
62,43
8,8
26,23
16,16
16,16
9,9
4,4
31,31
9,7
16,16
10,8
47,42
39,39
23,21
13,13
18,15
26,19
36,29
28,28
10,8
51,33
21,19
28,23
23,23
76,51
44,38
12,12
10,10
101,39
7,7
29,29
3,3
84,64
8,8
4,4
6,6
33,31
18,18
23,18
8,7
6,6
11,11
14,14
139,76
5,5
30,30
44,44
23,18
112,62
12,12
1,1
14,14
7,7
22,14
11,11
3,3
13,13
8,8
2,2
18,15
7,7
39,34
7,7
8,8
149,109
51,31
9,9
1,1
9,9
88,65
8,8
8,8
8,8
28,27
32,22
12,12
10,10
6,6
11,8
70,49
45,40
11,8
51,43
30,28
3,3
27,27
2,2
19,17
7,7
30,23
97,70
52,50
5,5
52,48
1,1
58,44
39,36
10,10
24,16
10,10
6,6
10,10
33,25
13,12
9,9
40,25
14,14
103,83
5,5
79,53
52,34
3,3
13,13
21,16
24,23
8,8
4,4
9,9
107,72
23,20
17,17
6,6
10,10
10,10
24,24
22,16
3,2
7,7
52,47
29,29
11,11
25,25
29,26
13,13
44,43
13,11
66,56
182,128
25,25
1,1
5,5
51,44
22,17
56,37
3,3
23,16
192,113
94,57
70,47
37,35
5,5
17,17
29,29
159,104
59,40
53,52
3,3
6,6
15,15
52,36
20,20
55,43
36,36
11,11
147,77
1,1
2,2
24,21
12,12
22,22
5,5
13,13
102,78
9,9
5,5
91,63
42,34
8,8
6,6
19,19
6,6
20,20
16,13
11,11
11,11
2,2
234,112
32,32
19,19
58,42
15,15
7,7
56,33
104,66
41,31
59,47
19,14
23,20
27,22
69,43
117,87
177,92
42,32
6,6
17,17
3,2
32,28
35,29
4,4
8,8
116,69
245,114
50,44
14,14
37,29
67,57
2,2
34,23
77,61
23,23
10,10
13,13
9,9
22,22
177,86
63,37
6,6
76,70
29,28
70,56
15,15
7,7
13,13
9,9
21,18
6,6
2,2
8,8
4,4
5,5
31,24
60,42
81,51
162,94
59,48
6,6
10,10
15,11
220,95
137,48
5,5
1,1
6,6
45,35
4,4
3,3
32,25
14,14
22,20
28,16
3,3
6,6
15,12
6,6
9,9
43,29
7,7
32,32
55,35
21,20
29,29
9,9
5,5
20,20
6,6
66,50
5,5
11,9
536,167
18,17
2,2
18,18
23,20
38,37
21,21
42,29
61,46
43,35
15,15
18,16
325,100
25,25
22,13
30,30
4,4
139,107
57,47
8,8
68,67
13,13
2,2
7,7
173,92
92,65
3,3
10,8
9,9
42,38
400,218
56,45
22,22
12,12
6,6
24,19
33,27
24,24
38,31
51,37
27,23
23,23
10,10
35,27
58,52
23,19
4,4
51,45
8,8
28,28
9,9
33,32
2,2
7,7
64,54
220,120
6,6
4,4
250,91
51,46
29,25
25,25
29,26
14,11
36,36
29,23
118,70
28,27
41,32
21,21
24,24
86,78
30,30
10,10
15,15
13,11
46,38
98,57
4,4
53,52
13,13
23,18
8,8
8,8
17,17
37,37
26,25
39,36
13,13
4,4
1,1
25,22
38,35
6,6
5,5
22,15
10,10
12,12
14,14
9,9
14,13
42,38
3,3
18,18
